,Категория,Всё время: Все источники,Сутки: Все источники,Среднее за сутки: Все источники,День: 3habr.com|ru|rss|all|all|,День: hibinform.ru|feed|,День: lenta.ru|rss|,День: regnum.ru|rss,День: ria.ru|export|rss2|archive|index.xml,День: rossaprimavera.ru|rss,День: tass.ru|rss|v2.xml,День: www.cnews.ru|inc|rss|news.xml,День: www.kommersant.ru|RSS|news.xml,День: www.vedomosti.ru|rss|news,habr.com|ru|rss|all|all|,hibinform.ru|feed|,lenta.ru|rss|,regnum.ru|rss,ria.ru|export|rss2|archive|index.xml,rossaprimavera.ru|rss,tass.ru|rss|v2.xml,www.cnews.ru|inc|rss|news.xml,www.kommersant.ru|RSS|news.xml,www.vedomosti.ru|rss|news,День макс.кол-ва публ.
0,авто,576,10.0,34,,,,,,,,,10.0,,,,,,,,,,391.0,185.0,2022-12-27
1,армия,3154,145.0,131,,,83.0,,,39.0,23.0,,,,,,1702.0,,,841.0,611.0,,,,2022-12-28
2,бизнес,22236,484.0,741,28.0,,84.0,59.0,,52.0,107.0,,102.0,52.0,809.0,,2673.0,1179.0,,1172.0,2642.0,,8981.0,4780.0,2022-12-28
3,жизнь,5000,140.0,200,,,124.0,16.0,,,,,,,,,2745.0,2255.0,,,,,,,2022-12-31
4,за рубежом,26643,657.0,987,,,211.0,,,13.0,170.0,,263.0,,,,6275.0,,,641.0,3691.0,,16036.0,,2023-01-14
5,история,1059,59.0,48,,,57.0,,,2.0,,,,,,,988.0,,,43.0,28.0,,,,2022-12-28
6,ИТ,4872,143.0,187,27.0,,39.0,1.0,,,,,54.0,22.0,1112.0,,1047.0,73.0,,,,,1767.0,873.0,2022-12-30
7,космос,86,2.0,5,,,,,,,2.0,,,,,,,,,,86.0,,,,2022-12-31
8,космос,86,2.0,5,,,,,,,2.0,,,,,,,,,,86.0,,,,2023-01-10
9,культура,2532,63.0,97,,,43.0,2.0,,3.0,12.0,,3.0,,,,1116.0,208.0,,136.0,380.0,,692.0,,2023-01-15
10,наука,144,2.0,7,2.0,,,,,,,,,,75.0,,,60.0,,,9.0,,,,2023-01-10
11,новости,24379,809.0,871,,,47.0,67.0,577.0,,65.0,,48.0,5.0,,,1123.0,1906.0,15035.0,,1837.0,,4200.0,278.0,2022-12-30
12,новые новости,9869,147.0,318,35.0,,,,,,6.0,106.0,,,596.0,,6.0,,,3.0,58.0,9170.0,,36.0,2022-12-29
13,образование,12,,2,,,,,,,,,,,12.0,,,,,,,,,,2023-01-11
14,общество,17882,423.0,596,,,,132.0,,28.0,107.0,,96.0,60.0,,6.0,,2481.0,,735.0,3194.0,,5571.0,5895.0,2023-01-10
15,политика,19584,547.0,653,,,,271.0,,59.0,59.0,,16.0,142.0,,,,5049.0,,1561.0,847.0,,1771.0,10356.0,2022-12-30
16,праздники,2,,1,,,,,,,,,,,,,,,,,2.0,,,,2022-12-29
17,праздники,2,,1,,,,,,,,,,,,,,,,,2.0,,,,2023-01-05
18,производство,56,1.0,3,1.0,,,,,,,,,,56.0,,,,,,,,,,2023-01-03
19,развлечения,51,2.0,4,2.0,,,,,,,,,,51.0,,,,,,,,,,2022-12-30
20,регионы,820,29.0,28,2.0,3.0,6.0,,,,18.0,,,,3.0,244.0,93.0,,,,480.0,,,,2022-12-30
21,россия,11841,354.0,493,,,309.0,11.0,,34.0,,,,,,,9758.0,1454.0,,629.0,,,,,2023-01-01
22,спорт,4983,123.0,185,,,60.0,6.0,,11.0,19.0,,27.0,,,,1780.0,234.0,,595.0,1026.0,,1348.0,,2023-01-15
23,транспорт,5,,3,,,,,,,,,,,2.0,,,,,,3.0,,,,2022-12-27
24,туризм,1092,55.0,46,,,55.0,,,,,,,,,,1091.0,,,,1.0,,,,2022-12-31
25,финансы,5,1.0,1,1.0,,,,,,,,,,5.0,,,,,,,,,,2022-12-28
