,Категория,Всё время: Все источники,Сутки: Все источники,Среднее за сутки: Все источники,День: 3habr.com|ru|rss|all|all|,День: hibinform.ru|feed|,День: lenta.ru|rss|,День: regnum.ru|rss,День: ria.ru|export|rss2|archive|index.xml,День: rossaprimavera.ru|rss,День: tass.ru|rss|v2.xml,День: www.cnews.ru|inc|rss|news.xml,День: www.kommersant.ru|RSS|news.xml,День: www.vedomosti.ru|rss|news,habr.com|ru|rss|all|all|,hibinform.ru|feed|,lenta.ru|rss|,regnum.ru|rss,ria.ru|export|rss2|archive|index.xml,rossaprimavera.ru|rss,tass.ru|rss|v2.xml,www.cnews.ru|inc|rss|news.xml,www.kommersant.ru|RSS|news.xml,www.vedomosti.ru|rss|news,День макс.кол-ва публ.
0,авто,828,,33,,,,,,,,,,,,,,,,,,,589.0,239.0,2022-12-27
1,армия,4446,103.0,131,,,29.0,,,54.0,20.0,,,,,,2441.0,,,1217.0,788.0,,,,2022-12-28
2,бизнес,29837,164.0,746,15.0,,35.0,29.0,,20.0,42.0,,11.0,12.0,1176.0,,3575.0,1652.0,,1518.0,3525.0,,12245.0,6146.0,2022-12-28
3,жизнь,6990,111.0,200,,,4.0,107.0,,,,,,,,,3898.0,3092.0,,,,,,,2022-12-31
4,за рубежом,40160,609.0,1085,,,230.0,,,33.0,148.0,,198.0,,,,9220.0,,,826.0,5384.0,,24730.0,,2023-01-20
5,история,1527,6.0,48,,,5.0,,,1.0,,,,,,,1428.0,,,65.0,34.0,,,,2022-12-28
6,ИТ,7096,67.0,197,41.0,,11.0,2.0,,,,,10.0,3.0,1522.0,,1531.0,93.0,,,,,2743.0,1207.0,2022-12-30
7,космос,118,,4,,,,,,,,,,,,,,,,,118.0,,,,2023-01-10
8,космос,118,,4,,,,,,,,,,,,,,,,,118.0,,,,2022-12-31
9,культура,3657,63.0,102,,,22.0,4.0,,3.0,18.0,,16.0,,,,1564.0,277.0,,190.0,546.0,,1080.0,,2023-01-15
10,наука,188,,6,,,,,,,,,,,93.0,,,84.0,,,11.0,,,,2023-01-10
11,новости,33910,730.0,892,,,13.0,86.0,524.0,,98.0,,9.0,,,,1551.0,2471.0,20995.0,,2532.0,,5962.0,399.0,2022-12-30
12,новые новости,14451,25.0,352,17.0,,,,,,8.0,,,,914.0,10.0,6.0,,,8.0,99.0,13351.0,,63.0,2022-12-29
13,образование,13,,2,,,,,,,,,,,13.0,,,,,,,,,,2023-01-11
14,общество,24913,195.0,623,,,,61.0,,15.0,71.0,,44.0,4.0,,6.0,,3442.0,,946.0,4225.0,,8371.0,7923.0,2023-01-20
15,политика,28932,322.0,723,,,,191.0,,53.0,36.0,,,42.0,,,,7464.0,,2159.0,1266.0,,2424.0,15619.0,2022-12-30
16,праздники,2,,1,,,,,,,,,,,,,,,,,2.0,,,,2022-12-29
17,праздники,2,,1,,,,,,,,,,,,,,,,,2.0,,,,2023-01-05
18,производство,70,,3,,,,,,,,,,,70.0,,,,,,,,,,2023-01-03
19,развлечения,78,4.0,4,4.0,,,,,,,,,,78.0,,,,,,,,,,2022-12-30
20,регионы,1199,20.0,31,,1.0,,,,,19.0,,,,4.0,394.0,112.0,,,,689.0,,,,2022-12-30
21,россия,15746,342.0,463,,,279.0,48.0,,15.0,,,,,,,12985.0,1900.0,,861.0,,,,,2023-01-01
22,спорт,7256,308.0,196,,,102.0,34.0,,35.0,109.0,,28.0,,,,2562.0,410.0,,832.0,1574.0,,1878.0,,2023-01-15
23,транспорт,5,,3,,,,,,,,,,,2.0,,,,,,3.0,,,,2022-12-27
24,туризм,1526,10.0,45,,,10.0,,,,,,,,,,1523.0,,,,3.0,,,,2022-12-31
25,финансы,7,,1,,,,,,,,,,,7.0,,,,,,,,,,2022-12-28
