,Категория,Всё время: Все источники,Сутки: Все источники,Среднее за сутки: Все источники,День: 3habr.com|ru|rss|all|all|,День: hibinform.ru|feed|,День: lenta.ru|rss|,День: regnum.ru|rss,День: ria.ru|export|rss2|archive|index.xml,День: rossaprimavera.ru|rss,День: tass.ru|rss|v2.xml,День: www.cnews.ru|inc|rss|news.xml,День: www.kommersant.ru|RSS|news.xml,День: www.vedomosti.ru|rss|news,habr.com|ru|rss|all|all|,hibinform.ru|feed|,lenta.ru|rss|,regnum.ru|rss,ria.ru|export|rss2|archive|index.xml,rossaprimavera.ru|rss,tass.ru|rss|v2.xml,www.cnews.ru|inc|rss|news.xml,www.kommersant.ru|RSS|news.xml,www.vedomosti.ru|rss|news,День макс.кол-ва публ.
0,авто,618,11.0,33,,,,,,,,,11.0,,,,,,,,,,433.0,185.0,2022-12-27
1,армия,3459,167.0,133,,,98.0,,,42.0,27.0,,,,,,1885.0,,,912.0,662.0,,,,2022-12-28
2,бизнес,23989,460.0,750,46.0,,92.0,40.0,,45.0,88.0,,114.0,35.0,888.0,,2883.0,1305.0,,1255.0,2840.0,,9717.0,5101.0,2022-12-28
3,жизнь,5381,186.0,199,,,127.0,59.0,,,,,,,,,3011.0,2370.0,,,,,,,2022-12-31
4,за рубежом,29437,675.0,1015,,,221.0,,,15.0,185.0,,254.0,,,,6775.0,,,672.0,4039.0,,17951.0,,2023-01-14
5,история,1172,52.0,49,,,47.0,,,4.0,1.0,,,,,,1094.0,,,47.0,31.0,,,,2022-12-28
6,ИТ,5454,105.0,195,24.0,,48.0,,,,,,25.0,8.0,1189.0,,1152.0,74.0,,,,,2052.0,987.0,2022-12-30
7,космос,93,3.0,4,,,,,,,3.0,,,,,,,,,,93.0,,,,2022-12-31
8,космос,93,3.0,4,,,,,,,3.0,,,,,,,,,,93.0,,,,2023-01-10
9,культура,2775,82.0,99,,,47.0,10.0,,8.0,17.0,,,,,,1223.0,228.0,,149.0,415.0,,760.0,,2023-01-15
10,наука,147,1.0,6,,,,1.0,,,,,,,76.0,,,62.0,,,9.0,,,,2023-01-10
11,новости,26278,764.0,876,,,58.0,30.0,585.0,,49.0,,42.0,,,,1229.0,1980.0,16225.0,,1943.0,,4606.0,295.0,2022-12-30
12,новые новости,11121,86.0,337,19.0,,,,,,5.0,62.0,,,650.0,1.0,6.0,,,5.0,67.0,10356.0,,36.0,2022-12-29
13,образование,12,,2,,,,,,,,,,,12.0,,,,,,,,,,2023-01-11
14,общество,19568,368.0,612,,,,118.0,,17.0,103.0,,85.0,45.0,,6.0,,2753.0,,778.0,3394.0,,6281.0,6356.0,2023-01-10
15,политика,21307,467.0,666,,,,236.0,,59.0,41.0,,32.0,99.0,,,,5557.0,,1675.0,937.0,,1895.0,11243.0,2022-12-30
16,праздники,2,,1,,,,,,,,,,,,,,,,,2.0,,,,2022-12-29
17,праздники,2,,1,,,,,,,,,,,,,,,,,2.0,,,,2023-01-05
18,производство,60,,3,,,,,,,,,,,60.0,,,,,,,,,,2023-01-03
19,развлечения,53,2.0,4,2.0,,,,,,,,,,53.0,,,,,,,,,,2022-12-30
20,регионы,929,30.0,30,,3.0,5.0,,,,22.0,,,,4.0,293.0,102.0,,,,530.0,,,,2022-12-30
21,россия,12487,289.0,480,,,249.0,26.0,,14.0,,,,,,,10321.0,1499.0,,667.0,,,,,2023-01-01
22,спорт,5374,181.0,185,,,61.0,17.0,,28.0,51.0,,24.0,,,,1911.0,267.0,,640.0,1109.0,,1447.0,,2023-01-15
23,транспорт,5,,3,,,,,,,,,,,2.0,,,,,,3.0,,,,2022-12-27
24,туризм,1205,58.0,46,,,58.0,,,,,,,,,,1204.0,,,,1.0,,,,2022-12-31
25,финансы,5,,1,,,,,,,,,,,5.0,,,,,,,,,,2022-12-28
