,Категория,Всё время: Все источники,Сутки: Все источники,Среднее за сутки: Все источники,День: 3habr.com|ru|rss|all|all|,День: hibinform.ru|feed|,День: lenta.ru|rss|,День: regnum.ru|rss,День: ria.ru|export|rss2|archive|index.xml,День: rossaprimavera.ru|rss,День: tass.ru|rss|v2.xml,День: www.cnews.ru|inc|rss|news.xml,День: www.kommersant.ru|RSS|news.xml,День: www.vedomosti.ru|rss|news,habr.com|ru|rss|all|all|,hibinform.ru|feed|,lenta.ru|rss|,regnum.ru|rss,ria.ru|export|rss2|archive|index.xml,rossaprimavera.ru|rss,tass.ru|rss|v2.xml,www.cnews.ru|inc|rss|news.xml,www.kommersant.ru|RSS|news.xml,www.vedomosti.ru|rss|news,День макс.кол-ва публ.
0,авто,480,,34,,,,,,,,,,,,,,,,,,,327.0,153.0,2022-12-27
1,армия,2601,84.0,130,,,25.0,,,38.0,21.0,,,,,,1397.0,,,702.0,502.0,,,,2022-12-28
2,бизнес,18735,162.0,721,18.0,,23.0,15.0,,21.0,40.0,,27.0,18.0,685.0,,2295.0,913.0,,1010.0,2227.0,,7663.0,3942.0,2022-12-28
3,жизнь,4328,164.0,206,,,46.0,118.0,,,,,,,,,2278.0,2050.0,,,,,,,2022-12-31
4,за рубежом,21923,560.0,953,,,193.0,,,17.0,151.0,,199.0,,,,5394.0,,,551.0,3121.0,,12857.0,,2023-01-10
5,история,829,13.0,46,,,12.0,,,,1.0,,,,,,771.0,,,36.0,22.0,,,,2022-12-28
6,ИТ,4005,76.0,182,48.0,,13.0,5.0,,,,,8.0,2.0,951.0,,858.0,60.0,,,,,1475.0,661.0,2022-12-30
7,космос,72,1.0,5,,,,,,,1.0,,,,,,,,,,72.0,,,,2023-01-10
8,космос,72,1.0,5,,,,,,,1.0,,,,,,,,,,72.0,,,,2022-12-31
9,культура,2043,137.0,93,,,69.0,23.0,,9.0,20.0,,16.0,,,,910.0,170.0,,116.0,314.0,,533.0,,2023-01-11
10,наука,120,6.0,7,1.0,,,3.0,,,2.0,,,,62.0,,,53.0,,,5.0,,,,2023-01-10
11,новости,20303,766.0,846,,,29.0,70.0,540.0,,101.0,,26.0,,,,921.0,1589.0,12649.0,,1472.0,,3477.0,195.0,2022-12-30
12,новые новости,7915,22.0,293,16.0,,6.0,,,,,,,,463.0,,6.0,,,3.0,38.0,7369.0,,36.0,2022-12-29
13,образование,6,,2,,,,,,,,,,,6.0,,,,,,,,,,2023-01-11
14,общество,15048,262.0,579,,,,73.0,,31.0,111.0,,36.0,11.0,,6.0,,2016.0,,627.0,2761.0,,4701.0,4937.0,2023-01-10
15,политика,15924,300.0,612,,,,149.0,,66.0,28.0,,9.0,48.0,,,,4147.0,,1333.0,689.0,,1476.0,8279.0,2022-12-30
16,праздники,2,,1,,,,,,,,,,,,,,,,,2.0,,,,2022-12-29
17,праздники,2,,1,,,,,,,,,,,,,,,,,2.0,,,,2023-01-05
18,производство,44,4.0,3,4.0,,,,,,,,,,44.0,,,,,,,,,,2023-01-03
19,развлечения,45,,4,,,,,,,,,,,45.0,,,,,,,,,,2022-12-30
20,регионы,667,17.0,27,,1.0,,,,,16.0,,,,1.0,184.0,75.0,,,,407.0,,,,2022-12-30
21,россия,10186,367.0,509,,,273.0,71.0,,23.0,,,,,,,8349.0,1298.0,,539.0,,,,,2023-01-01
22,спорт,4120,218.0,179,,,99.0,9.0,,12.0,60.0,,38.0,,,,1483.0,206.0,,491.0,890.0,,1050.0,,2023-01-04
23,транспорт,3,,3,,,,,,,,,,,,,,,,,3.0,,,,2022-12-27
24,туризм,861,11.0,43,,,11.0,,,,,,,,,,860.0,,,,1.0,,,,2022-12-31
25,финансы,4,,1,,,,,,,,,,,4.0,,,,,,,,,,2022-12-28
