,Категория,Всё время: Все источники,Сутки: Все источники,Среднее за сутки: Все источники,День: 3habr.com|ru|rss|all|all|,День: hibinform.ru|feed|,День: lenta.ru|rss|,День: regnum.ru|rss,День: ria.ru|export|rss2|archive|index.xml,День: rossaprimavera.ru|rss,День: tass.ru|rss|v2.xml,День: www.cnews.ru|inc|rss|news.xml,День: www.kommersant.ru|RSS|news.xml,День: www.vedomosti.ru|rss|news,habr.com|ru|rss|all|all|,hibinform.ru|feed|,lenta.ru|rss|,regnum.ru|rss,ria.ru|export|rss2|archive|index.xml,rossaprimavera.ru|rss,tass.ru|rss|v2.xml,www.cnews.ru|inc|rss|news.xml,www.kommersant.ru|RSS|news.xml,www.vedomosti.ru|rss|news,День макс.кол-ва публ.
0,авто,813,4.0,33,,,,,,,,,,4.0,,,,,,,,,586.0,227.0,2022-12-27
1,армия,4326,126.0,131,,,91.0,,,26.0,9.0,,,,,,2395.0,,,1163.0,768.0,,,,2022-12-28
2,бизнес,29198,480.0,749,35.0,,78.0,58.0,,44.0,92.0,,148.0,25.0,1155.0,,3501.0,1619.0,,1498.0,3480.0,,11928.0,6017.0,2022-12-28
3,жизнь,6830,195.0,201,,,137.0,58.0,,,,,,,,,3849.0,2981.0,,,,,,,2022-12-31
4,за рубежом,38729,746.0,1076,,,288.0,,,22.0,194.0,,242.0,,,,8813.0,,,793.0,5227.0,,23896.0,,2023-01-20
5,история,1514,58.0,49,,,52.0,,,6.0,,,,,,,1416.0,,,64.0,34.0,,,,2022-12-28
6,ИТ,6903,100.0,197,25.0,,44.0,2.0,,,,,29.0,,1463.0,,1494.0,90.0,,,,,2673.0,1183.0,2022-12-30
7,космос,118,5.0,4,,,,,,,5.0,,,,,,,,,,118.0,,,,2022-12-31
8,космос,118,5.0,4,,,,,,,5.0,,,,,,,,,,118.0,,,,2023-01-10
9,культура,3547,88.0,101,,,44.0,7.0,,3.0,23.0,,11.0,,,,1531.0,272.0,,187.0,526.0,,1031.0,,2023-01-15
10,наука,188,5.0,6,2.0,,,2.0,,,1.0,,,,93.0,,,84.0,,,11.0,,,,2023-01-10
11,новости,32941,836.0,890,,,42.0,69.0,594.0,,66.0,,61.0,4.0,,,1522.0,2381.0,20400.0,,2430.0,,5821.0,387.0,2022-12-30
12,новые новости,14398,141.0,360,50.0,,,,,3.0,3.0,81.0,,4.0,878.0,9.0,6.0,,,8.0,91.0,13351.0,,55.0,2022-12-29
13,образование,13,1.0,2,1.0,,,,,,,,,,13.0,,,,,,,,,,2023-01-11
14,общество,24403,271.0,626,,,,71.0,,28.0,76.0,,51.0,45.0,,6.0,,3373.0,,931.0,4151.0,,8174.0,7768.0,2023-01-20
15,политика,28131,478.0,721,,,,241.0,,56.0,56.0,,18.0,107.0,,,,7262.0,,2106.0,1228.0,,2376.0,15159.0,2022-12-30
16,праздники,2,,1,,,,,,,,,,,,,,,,,2.0,,,,2022-12-29
17,праздники,2,,1,,,,,,,,,,,,,,,,,2.0,,,,2023-01-05
18,производство,70,,3,,,,,,,,,,,70.0,,,,,,,,,,2023-01-03
19,развлечения,74,,4,,,,,,,,,,,74.0,,,,,,,,,,2022-12-30
20,регионы,1170,27.0,31,,3.0,,,,,24.0,,,,4.0,385.0,112.0,,,,669.0,,,,2022-12-30
21,россия,15307,327.0,464,,,250.0,49.0,,28.0,,,,,,,12613.0,1848.0,,846.0,,,,,2023-01-01
22,спорт,6880,140.0,191,,,52.0,16.0,,10.0,40.0,,22.0,,,,2437.0,375.0,,797.0,1463.0,,1808.0,,2023-01-15
23,транспорт,5,,3,,,,,,,,,,,2.0,,,,,,3.0,,,,2022-12-27
24,туризм,1510,38.0,46,,,38.0,,,,,,,,,,1507.0,,,,3.0,,,,2022-12-31
25,финансы,7,,1,,,,,,,,,,,7.0,,,,,,,,,,2022-12-28
