,Категория,Всё время: Все источники,Сутки: Все источники,Среднее за сутки: Все источники,День: 3habr.com|ru|rss|all|all|,День: hibinform.ru|feed|,День: lenta.ru|rss|,День: regnum.ru|rss,День: ria.ru|export|rss2|archive|index.xml,День: rossaprimavera.ru|rss,День: tass.ru|rss|v2.xml,День: www.cnews.ru|inc|rss|news.xml,День: www.kommersant.ru|RSS|news.xml,День: www.vedomosti.ru|rss|news,habr.com|ru|rss|all|all|,hibinform.ru|feed|,lenta.ru|rss|,regnum.ru|rss,ria.ru|export|rss2|archive|index.xml,rossaprimavera.ru|rss,tass.ru|rss|v2.xml,www.cnews.ru|inc|rss|news.xml,www.kommersant.ru|RSS|news.xml,www.vedomosti.ru|rss|news,День макс.кол-ва публ.
0,авто,788,10.0,33,,,,,,,,,5.0,5.0,,,,,,,,,571.0,217.0,2022-12-27
1,армия,4197,143.0,131,,,92.0,,,43.0,8.0,,,,,,2301.0,,,1137.0,759.0,,,,2022-12-28
2,бизнес,28316,515.0,745,43.0,,86.0,63.0,,32.0,98.0,,151.0,42.0,1118.0,,3411.0,1558.0,,1454.0,3388.0,,11489.0,5898.0,2022-12-28
3,жизнь,6625,216.0,201,,,128.0,88.0,,,,,,,,,3705.0,2920.0,,,,,,,2022-12-31
4,за рубежом,37288,613.0,1065,,,247.0,,,9.0,145.0,,212.0,,,,8499.0,,,771.0,5033.0,,22985.0,,2023-01-20
5,история,1455,60.0,49,,,55.0,,,4.0,1.0,,,,,,1363.0,,,58.0,34.0,,,,2022-12-28
6,ИТ,6693,148.0,197,38.0,,56.0,1.0,,,,,41.0,12.0,1435.0,,1446.0,88.0,,,,,2566.0,1158.0,2022-12-30
7,космос,113,3.0,4,,,,,,,3.0,,,,,,,,,,113.0,,,,2022-12-31
8,космос,113,3.0,4,,,,,,,3.0,,,,,,,,,,113.0,,,,2023-01-10
9,культура,3407,90.0,100,,,42.0,3.0,,11.0,15.0,,19.0,,,,1483.0,262.0,,184.0,503.0,,975.0,,2023-01-15
10,наука,182,4.0,6,3.0,,,,,,1.0,,,,90.0,,,82.0,,,10.0,,,,2023-01-10
11,новости,31963,778.0,888,,,41.0,32.0,598.0,,59.0,,40.0,8.0,,,1477.0,2311.0,19805.0,,2364.0,,5634.0,372.0,2022-12-30
12,новые новости,13735,140.0,352,35.0,,,,,,4.0,101.0,,,827.0,7.0,6.0,,,5.0,88.0,12752.0,,50.0,2022-12-29
13,образование,12,,2,,,,,,,,,,,12.0,,,,,,,,,,2023-01-11
14,общество,23792,339.0,626,,,,67.0,,25.0,127.0,,79.0,41.0,,6.0,,3295.0,,903.0,4075.0,,7907.0,7606.0,2023-01-20
15,политика,27256,475.0,717,,,,233.0,,62.0,62.0,,12.0,106.0,,,,7014.0,,2050.0,1172.0,,2325.0,14695.0,2022-12-30
16,праздники,2,,1,,,,,,,,,,,,,,,,,2.0,,,,2022-12-29
17,праздники,2,,1,,,,,,,,,,,,,,,,,2.0,,,,2023-01-05
18,производство,70,,3,,,,,,,,,,,70.0,,,,,,,,,,2023-01-03
19,развлечения,74,,4,,,,,,,,,,,74.0,,,,,,,,,,2022-12-30
20,регионы,1128,22.0,30,,1.0,1.0,,,,20.0,,,,4.0,367.0,112.0,,,,645.0,,,,2022-12-30
21,россия,14956,343.0,467,,,276.0,41.0,,26.0,,,,,,,12342.0,1796.0,,818.0,,,,,2023-01-01
22,спорт,6696,141.0,191,,,43.0,20.0,,13.0,47.0,,18.0,,,,2383.0,359.0,,787.0,1423.0,,1744.0,,2023-01-15
23,транспорт,5,,3,,,,,,,,,,,2.0,,,,,,3.0,,,,2022-12-27
24,туризм,1471,43.0,46,,,43.0,,,,,,,,,,1468.0,,,,3.0,,,,2022-12-31
25,финансы,7,,1,,,,,,,,,,,7.0,,,,,,,,,,2022-12-28
