,Категория,Всё время: Все источники,Сутки: Все источники,Среднее за сутки: Все источники,День: 3habr.com|ru|rss|all|all|,День: hibinform.ru|feed|,День: lenta.ru|rss|,День: regnum.ru|rss,День: ria.ru|export|rss2|archive|index.xml,День: rossaprimavera.ru|rss,День: tass.ru|rss|v2.xml,День: www.cnews.ru|inc|rss|news.xml,День: www.kommersant.ru|RSS|news.xml,День: www.vedomosti.ru|rss|news,habr.com|ru|rss|all|all|,hibinform.ru|feed|,lenta.ru|rss|,regnum.ru|rss,ria.ru|export|rss2|archive|index.xml,rossaprimavera.ru|rss,tass.ru|rss|v2.xml,www.cnews.ru|inc|rss|news.xml,www.kommersant.ru|RSS|news.xml,www.vedomosti.ru|rss|news,День макс.кол-ва публ.
0,авто,843,,34,,,,,,,,,,,,,,,,,,,589.0,254.0,2022-12-27
1,армия,4554,91.0,130,,,36.0,,,34.0,21.0,,,,,,2492.0,,,1251.0,811.0,,,,2022-12-28
2,бизнес,30346,224.0,740,14.0,,34.0,20.0,,42.0,65.0,,24.0,25.0,1193.0,,3617.0,1674.0,,1560.0,3590.0,,12395.0,6317.0,2022-12-28
3,жизнь,7165,154.0,199,,,36.0,118.0,,,,,,,,,3947.0,3218.0,,,,,,,2022-12-31
4,за рубежом,41448,538.0,1091,,,210.0,,,13.0,148.0,,167.0,,,,9596.0,,,839.0,5552.0,,25461.0,,2023-01-20
5,история,1553,25.0,47,,,22.0,,,1.0,2.0,,,,,,1451.0,,,66.0,36.0,,,,2022-12-28
6,ИТ,7225,49.0,195,24.0,,16.0,4.0,,,,,5.0,,1560.0,,1558.0,97.0,,,,,2778.0,1232.0,2022-12-30
7,космос,118,,4,,,,,,,,,,,,,,,,,118.0,,,,2022-12-31
8,космос,118,,4,,,,,,,,,,,,,,,,,118.0,,,,2023-01-10
9,культура,3755,55.0,101,,,15.0,8.0,,3.0,12.0,,17.0,,,,1586.0,286.0,,193.0,560.0,,1130.0,,2023-01-15
10,наука,189,1.0,6,,,,1.0,,,,,,,93.0,,,85.0,,,11.0,,,,2023-01-10
11,новости,34923,803.0,895,,,46.0,105.0,525.0,,80.0,,47.0,,,,1612.0,2584.0,21593.0,,2627.0,,6093.0,414.0,2022-12-30
12,новые новости,14520,52.0,346,50.0,,,,,,2.0,,,,971.0,10.0,6.0,,,8.0,101.0,13351.0,,73.0,2022-12-29
13,образование,13,,2,,,,,,,,,,,13.0,,,,,,,,,,2023-01-11
14,общество,25394,184.0,619,,,,36.0,,21.0,77.0,,34.0,16.0,,6.0,,3488.0,,967.0,4305.0,,8519.0,8109.0,2023-01-20
15,политика,29842,353.0,728,,,,191.0,,57.0,34.0,,5.0,66.0,,,,7667.0,,2216.0,1303.0,,2459.0,16197.0,2022-12-30
16,праздники,2,,1,,,,,,,,,,,,,,,,,2.0,,,,2022-12-29
17,праздники,2,,1,,,,,,,,,,,,,,,,,2.0,,,,2023-01-05
18,производство,74,4.0,3,4.0,,,,,,,,,,74.0,,,,,,,,,,2023-01-03
19,развлечения,82,3.0,4,3.0,,,,,,,,,,82.0,,,,,,,,,,2022-12-30
20,регионы,1246,35.0,31,,1.0,,,,,34.0,,,,4.0,404.0,112.0,,,,726.0,,,,2022-12-30
21,россия,16251,354.0,464,,,273.0,53.0,,28.0,,,,,,,13402.0,1960.0,,889.0,,,,,2023-01-01
22,спорт,7573,204.0,199,,,76.0,13.0,,37.0,65.0,,13.0,,,,2676.0,426.0,,869.0,1645.0,,1957.0,,2023-01-29
23,транспорт,5,,3,,,,,,,,,,,2.0,,,,,,3.0,,,,2022-12-27
24,туризм,1544,16.0,44,,,16.0,,,,,,,,,,1541.0,,,,3.0,,,,2022-12-31
25,финансы,7,,1,,,,,,,,,,,7.0,,,,,,,,,,2022-12-28
