,Категория,Всё время: Все источники,Сутки: Все источники,Среднее за сутки: Все источники,День: 3habr.com|ru|rss|all|all|,День: hibinform.ru|feed|,День: lenta.ru|rss|,День: regnum.ru|rss,День: ria.ru|export|rss2|archive|index.xml,День: rossaprimavera.ru|rss,День: tass.ru|rss|v2.xml,День: www.cnews.ru|inc|rss|news.xml,День: www.kommersant.ru|RSS|news.xml,День: www.vedomosti.ru|rss|news,habr.com|ru|rss|all|all|,hibinform.ru|feed|,lenta.ru|rss|,regnum.ru|rss,ria.ru|export|rss2|archive|index.xml,rossaprimavera.ru|rss,tass.ru|rss|v2.xml,www.cnews.ru|inc|rss|news.xml,www.kommersant.ru|RSS|news.xml,www.vedomosti.ru|rss|news,День макс.кол-ва публ.
0,авто,651,6.0,33,,,,,,,,,6.0,,,,,,,,,,466.0,185.0,2022-12-27
1,армия,3650,78.0,130,,,12.0,,,43.0,23.0,,,,,,1944.0,,,1001.0,705.0,,,,2022-12-28
2,бизнес,25121,263.0,739,19.0,,63.0,34.0,,23.0,60.0,,44.0,20.0,939.0,,3059.0,1362.0,,1306.0,2953.0,,10106.0,5396.0,2022-12-28
3,жизнь,5638,99.0,194,,,56.0,43.0,,,,,,,,,3163.0,2475.0,,,,,,,2022-12-31
4,за рубежом,32118,626.0,1036,,,241.0,,,26.0,165.0,,194.0,,,,7464.0,,,718.0,4414.0,,19522.0,,2023-01-20
5,история,1206,22.0,46,,,20.0,,,1.0,1.0,,,,,,1124.0,,,50.0,32.0,,,,2022-12-28
6,ИТ,5835,52.0,195,50.0,,2.0,,,,,,,,1307.0,,1227.0,80.0,,,,,2153.0,1068.0,2022-12-30
7,космос,96,,4,,,,,,,,,,,,,,,,,96.0,,,,2023-01-10
8,космос,96,,4,,,,,,,,,,,,,,,,,96.0,,,,2022-12-31
9,культура,2907,27.0,97,,,11.0,2.0,,4.0,6.0,,4.0,,,,1290.0,232.0,,161.0,433.0,,791.0,,2023-01-15
10,наука,154,,6,,,,,,,,,,,83.0,,,62.0,,,9.0,,,,2023-01-10
11,новости,28134,702.0,879,,,11.0,46.0,534.0,,79.0,,28.0,4.0,,,1300.0,2120.0,17422.0,,2100.0,,4876.0,316.0,2022-12-30
12,новые новости,11170,20.0,319,19.0,,,,,,1.0,,,,698.0,1.0,6.0,,,5.0,68.0,10356.0,,36.0,2022-12-29
13,образование,12,,2,,,,,,,,,,,12.0,,,,,,,,,,2023-01-11
14,общество,21014,285.0,618,,,,115.0,,25.0,91.0,,42.0,12.0,,6.0,,3042.0,,826.0,3595.0,,6739.0,6806.0,2023-01-20
15,политика,23055,385.0,678,,,,261.0,,53.0,18.0,,,53.0,,,,6077.0,,1785.0,1001.0,,1997.0,12195.0,2022-12-30
16,праздники,2,,1,,,,,,,,,,,,,,,,,2.0,,,,2022-12-29
17,праздники,2,,1,,,,,,,,,,,,,,,,,2.0,,,,2023-01-05
18,производство,63,3.0,3,3.0,,,,,,,,,,63.0,,,,,,,,,,2023-01-03
19,развлечения,66,4.0,4,4.0,,,,,,,,,,66.0,,,,,,,,,,2022-12-30
20,регионы,978,14.0,30,,,,,,,14.0,,,,4.0,303.0,102.0,,,,569.0,,,,2022-12-30
21,россия,13360,263.0,477,,,228.0,11.0,,24.0,,,,,,,11090.0,1547.0,,723.0,,,,,2023-01-01
22,спорт,6000,208.0,194,,,71.0,18.0,,32.0,78.0,,9.0,,,,2173.0,297.0,,683.0,1278.0,,1569.0,,2023-01-15
23,транспорт,5,,3,,,,,,,,,,,2.0,,,,,,3.0,,,,2022-12-27
24,туризм,1255,12.0,45,,,12.0,,,,,,,,,,1254.0,,,,1.0,,,,2022-12-31
25,финансы,5,,1,,,,,,,,,,,5.0,,,,,,,,,,2022-12-28
