,Категория,Всё время: Все источники,Сутки: Все источники,Среднее за сутки: Все источники,День: 3habr.com|ru|rss|all|all|,День: hibinform.ru|feed|,День: lenta.ru|rss|,День: regnum.ru|rss,День: ria.ru|export|rss2|archive|index.xml,День: rossaprimavera.ru|rss,День: tass.ru|rss|v2.xml,День: www.cnews.ru|inc|rss|news.xml,День: www.kommersant.ru|RSS|news.xml,День: www.vedomosti.ru|rss|news,habr.com|ru|rss|all|all|,hibinform.ru|feed|,lenta.ru|rss|,regnum.ru|rss,ria.ru|export|rss2|archive|index.xml,rossaprimavera.ru|rss,tass.ru|rss|v2.xml,www.cnews.ru|inc|rss|news.xml,www.kommersant.ru|RSS|news.xml,www.vedomosti.ru|rss|news,День макс.кол-ва публ.
0,авто,514,15.0,34,,,,,,,,,11.0,4.0,,,,,,,,,341.0,173.0,2022-12-27
1,армия,2873,145.0,131,,,94.0,,,31.0,20.0,,,,,,1543.0,,,768.0,562.0,,,,2022-12-28
2,бизнес,20086,645.0,717,31.0,,102.0,62.0,,46.0,122.0,,205.0,77.0,734.0,,2445.0,1005.0,,1072.0,2410.0,,8108.0,4312.0,2022-12-28
3,жизнь,4681,162.0,204,,,120.0,42.0,,,,,,,,,2481.0,2200.0,,,,,,,2022-12-31
4,за рубежом,24236,512.0,969,,,159.0,,,23.0,125.0,,205.0,,,,5835.0,,,606.0,3376.0,,14419.0,,2023-01-14
5,история,935,57.0,47,,,55.0,,,1.0,1.0,,,,,,869.0,,,39.0,27.0,,,,2022-12-28
6,ИТ,4383,139.0,183,42.0,,46.0,4.0,,,,,29.0,18.0,1051.0,,946.0,69.0,,,,,1555.0,762.0,2022-12-30
7,космос,79,7.0,5,,,,,,,7.0,,,,,,,,,,79.0,,,,2023-01-10
8,космос,79,7.0,5,,,,,,,7.0,,,,,,,,,,79.0,,,,2022-12-31
9,культура,2330,99.0,97,,,61.0,6.0,,2.0,21.0,,9.0,,,,1035.0,196.0,,125.0,353.0,,621.0,,2023-01-15
10,наука,138,4.0,7,3.0,,,1.0,,,,,,,72.0,,,57.0,,,9.0,,,,2023-01-10
11,новости,22396,865.0,861,,,40.0,69.0,580.0,,99.0,,69.0,8.0,,,1020.0,1791.0,13841.0,,1710.0,,3794.0,240.0,2022-12-30
12,новые новости,8587,128.0,296,37.0,,,,,,7.0,84.0,,,526.0,,6.0,,,3.0,46.0,7970.0,,36.0,2022-12-29
13,образование,9,3.0,2,3.0,,,,,,,,,,9.0,,,,,,,,,,2023-01-11
14,общество,16351,379.0,584,,,,128.0,,25.0,105.0,,69.0,52.0,,6.0,,2225.0,,673.0,2963.0,,5052.0,5432.0,2023-01-10
15,политика,17512,410.0,625,,,,211.0,,64.0,26.0,,15.0,94.0,,,,4531.0,,1441.0,747.0,,1545.0,9248.0,2022-12-30
16,праздники,2,,1,,,,,,,,,,,,,,,,,2.0,,,,2023-01-05
17,праздники,2,,1,,,,,,,,,,,,,,,,,2.0,,,,2022-12-29
18,производство,53,1.0,4,1.0,,,,,,,,,,53.0,,,,,,,,,,2023-01-03
19,развлечения,49,1.0,4,1.0,,,,,,,,,,49.0,,,,,,,,,,2022-12-30
20,регионы,731,27.0,27,,1.0,12.0,,,,14.0,,,,1.0,204.0,87.0,,,,439.0,,,,2022-12-30
21,россия,11056,351.0,503,,,299.0,33.0,,19.0,,,,,,,9079.0,1403.0,,574.0,,,,,2023-01-01
22,спорт,4647,138.0,186,,,52.0,9.0,,16.0,46.0,,15.0,,,,1663.0,222.0,,558.0,988.0,,1216.0,,2023-01-15
23,транспорт,5,2.0,3,2.0,,,,,,,,,,2.0,,,,,,3.0,,,,2022-12-27
24,туризм,989,57.0,45,,,57.0,,,,,,,,,,988.0,,,,1.0,,,,2022-12-31
25,финансы,4,,1,,,,,,,,,,,4.0,,,,,,,,,,2022-12-28
